Year,Oil,Coal,Solar,Nuclear,Hydro,Wind,Gas,Other renewables
1965,0.4155421392499954,0.37282225920306195,0.0,0.0016739706385495085,0.06305770188813087,0.0,0.1456115600720338,0.0012923689482283998
1966,0.4241236168870087,0.3579640167165897,0.0,0.002142530159326579,0.06379319230156359,0.0,0.1506228265476588,0.0013538173878525769
1967,0.438129414074039,0.33941092427857156,0.0,0.002458917951960528,0.06284848598330375,0.0,0.15583455239233096,0.0013177053197942676
1968,0.4481263384734588,0.32483390041132354,0.0,0.00294665187956802,0.06241763386579288,0.0,0.16029987223108982,0.0013756031387667674
1969,0.4547711932958826,0.3137018653898888,0.0,0.0032737877812019376,0.061941738104087,0.0,0.16495644406491744,0.0013549713640222942
1970,0.46536117443085295,0.2995041958265379,0.0,0.003929479126958868,0.060984217094699096,0.0,0.1688104108997513,0.0014105226211998778
1971,0.4722362117955033,0.2861908427920673,0.0,0.005251015272977509,0.0612155819296228,0.0,0.17363305057741535,0.0014732976324138129
1972,0.48213209607146,0.27472956009147614,0.0,0.006913604904764874,0.06082052058202915,0.0,0.17390874410022084,0.0014954742500489487
1973,0.4921142009362516,0.2672399474938418,0.0,0.008751377271280187,0.05827954315553444,0.0,0.1720986279240237,0.0015163032190683
1974,0.4822656021829285,0.2658331885774421,0.0,0.011373000022759061,0.06362623368459268,0.0,0.17529523997432273,0.0016067355579549507
1975,0.47448877834662867,0.2696589623940826,0.0,0.01570046004700752,0.06409644057629721,0.0,0.17443740510166073,0.001617953534323261
1976,0.47936544439868245,0.26542104632560004,0.0,0.017436430541566565,0.06060639240139065,0.0,0.1754582898463437,0.0017123964864165383
1977,0.47849682022651485,0.2635955678435816,0.0,0.020934669604105418,0.06042642344690005,0.0,0.17480303382776854,0.001743485051129495
1978,0.48073382347416443,0.256206344110321,0.0,0.02338102818216444,0.06285646112105107,1.1667611769043803e-07,0.17504429985100411,0.0017779265851770392
1979,0.4718586550651677,0.25924255272051017,0.0,0.023511410774692373,0.0638146185612749,2.2597031173469133e-07,0.17973275005614928,0.0018397868518938208
1980,0.455877830341164,0.26773691034596137,0.0,0.02593078314701051,0.06572845819976246,3.985492698390017e-07,0.1827515255127152,0.001974093904116589
1981,0.4415094891844558,0.27262354040703835,0.0,0.03075140537948414,0.0674238275868966,4.0021913453331275e-07,0.18556564617157936,0.002125691051411209
1982,0.4301656377312371,0.2772099458172167,0.0,0.03355118721238952,0.06902901865623037,7.091054029581462e-07,0.18756463583772384,0.0024788656397995274
1983,0.4201993492539963,0.28125484283512087,1.1304504933228507e-07,0.03742341054961246,0.07083620020431419,1.2371452390675628e-06,0.18758319726968428,0.0027016496969834883
1984,0.41012836777450623,0.2800884716898833,2.2730752919180725e-07,0.04334904694015043,0.06990461611243708,1.6115494575440826e-06,0.19364993748175321,0.002877721144283236
1985,0.39960345699130584,0.284776860155948,4.123906816301744e-07,0.050156104750476216,0.06949937922568429,2.254420774775961e-06,0.1930606140761652,0.002900917988964064
1986,0.4030097815264866,0.281728801547649,5.214418675686848e-07,0.0525536142919104,0.0689103848968077,4.767744003912526e-06,0.19071208230343528,0.003080046247839334
1987,0.397195834714483,0.2829406151120375,3.518524151591585e-07,0.05523971835945861,0.06748914984194374,6.4834066474745575e-06,0.19394207186821208,0.0031857748448025037
1988,0.395270482355394,0.28080197931565004,3.260284760394932e-07,0.05803141340486637,0.06711621726704335,1.0602639928030885e-05,0.1956082174260614,0.003160761562580633
1989,0.39418289390120975,0.2781122673278761,8.225835788931047e-06,0.05854896532574223,0.06549321998351046,8.312239398002358e-05,0.20015618256397688,0.0034151226679155467
1990,0.3941051808033659,0.2714603444967078,1.2032147144365138e-05,0.05948400068484028,0.06689327531067314,0.0001125598505293834,0.2041482726864296,0.0037843340203097047
1991,0.3913366341156617,0.2669310750039032,1.554373292131812e-05,0.06188785544845806,0.06796679422325923,0.00012573697504571313,0.20781630364285775,0.0039200568578928695
1992,0.3944749163226792,0.264245011447416,1.4265417516304287e-05,0.06196611363118155,0.06752167203402605,0.00014471367642615576,0.20744844595280565,0.004184861517949017
1993,0.38945260772876145,0.26351842843747275,1.688847467424397e-05,0.06360282567556304,0.07103255234766416,0.00017284655777362678,0.20791142557618777,0.004292425201903028
1994,0.39301115835587164,0.26122168136312485,1.788463337305515e-05,0.06398509497073936,0.0705841056994761,0.00021338025850609668,0.20656409567841436,0.004402599040494467
1995,0.39080710590956363,0.2572573786270826,1.8716541663334173e-05,0.06529440465736953,0.07276905943366313,0.00024206524288717857,0.2091108152899649,0.0045004542978056405
1996,0.38829679213532137,0.2560320700215256,1.9914107132529342e-05,0.06577836011288953,0.07168726804332443,0.0002621557222059457,0.21343217938806425,0.004491260469536242
1997,0.39488807168217627,0.25303550440075717,2.1135145927300886e-05,0.06467271423406577,0.07221030588020116,0.0003388519977633754,0.21006662106934934,0.004766795589759556
1998,0.39456204679326506,0.24980938665540972,2.2743190216631128e-05,0.06536676003956007,0.07230953612063051,0.00044605219737455746,0.21255202185379773,0.004931453149745701
1999,0.3945642103870237,0.24658576886643174,2.4925912950882057e-05,0.06669259427353416,0.07160973585711376,0.0005842181614171706,0.21485313612995482,0.0050854104115736955
2000,0.3894039235360866,0.24907075885207164,2.8436073532748416e-05,0.06650362919053886,0.07106982064905837,0.0008433703994106745,0.2178931141308599,0.005186947168441362
2001,0.38899130870204107,0.250541824343107,3.760184913736203e-05,0.06727729391288013,0.0681263217719945,0.0010140015504221931,0.21867732125774555,0.005334326612672177
2002,0.38385335657042874,0.2548682124287254,4.6220638847194005e-05,0.06647155617955278,0.06747420973910322,0.0013448487895529534,0.22031998223797147,0.005621613415818141
2003,0.3789859419433758,0.2677790989860415,5.5598088734053564e-05,0.06249475359045622,0.06466391280692736,0.0015602592260213623,0.21873060707003197,0.005729828288411642
2004,0.37496233717501193,0.27287510640752943,6.939088400952656e-05,0.061883306638257,0.065769726290039,0.0019995401746485237,0.21653910840861046,0.0059014840218941465
2005,0.3665643636129865,0.2840697210244483,9.416428999823296e-05,0.05975337855107712,0.06547206543630261,0.0023533554835122755,0.215496779060069,0.006196172541605991
2006,0.3603905927033607,0.2908408639998492,0.000125253177297902,0.05847844766290734,0.06569530646927232,0.0029020393706926965,0.21514598513032113,0.006421511486298901
2007,0.3541306495649394,0.29829252141783746,0.00016391595816109028,0.05525300603388459,0.06442848758669073,0.003595934073007611,0.2173727396977161,0.006762745667763133
2008,0.3473485895205292,0.29917699346691345,0.00026180635387866753,0.05416766522198447,0.0670407996991851,0.0045652434972616,0.22028203231627577,0.007156869923971786
2009,0.3457284892334544,0.29953191823702574,0.00043878923606009896,0.05392599616037068,0.06759483121600186,0.005763202716038613,0.2192039283205176,0.007812844880530745
2010,0.34062824730573005,0.29867697707226637,0.0006694026125922205,0.05244175333002974,0.06769201538559703,0.006838361828857865,0.22465898584004304,0.008394256624883672
2011,0.33554965721669283,0.3057484163654474,0.001256680860566182,0.048776525123065816,0.0669261687432204,0.008438583236068008,0.2246380361908781,0.008665932264061267
2012,0.3357786217926414,0.30271281159054614,0.0019074809639329999,0.04453913375750682,0.06841457090353803,0.009965560967354072,0.22741658457130837,0.009265235453172102
2013,0.3334608273408395,0.30196299277284905,0.0025436868447505207,0.0438608130158629,0.0695254729644443,0.01166312656151787,0.2271305656577132,0.009852514842022708
2014,0.3319747680801321,0.30085586535956715,0.003543748687358321,0.04401250453574706,0.07018722009096626,0.012738911655655624,0.22613065153021053,0.010556330060362898
2015,0.3356089888377469,0.29106602835834333,0.004532422058981626,0.04397433032317352,0.06900534127418696,0.014791572794571516,0.22971529602211524,0.011306020330880974
2016,0.33726562902519175,0.2834667558008684,0.005714112405783993,0.04375262617649399,0.0699899525002703,0.016782118733513814,0.2317087981740845,0.0113200071837935
2017,0.33570453975633924,0.27968172458553653,0.007578380783160573,0.04305253873287986,0.06923954430884678,0.01940064627217193,0.23351231838675837,0.011830307174306623
2018,0.3313115540124483,0.27572190268566993,0.009485353236927164,0.04265635425025459,0.06885922250143273,0.020905166251538758,0.23864293768472378,0.012417509377004737
2019,0.32932656727624277,0.2696628466331614,0.011450469399895321,0.043647784137857464,0.06882770674901709,0.023106615734721416,0.2410492293294361,0.012928780739668511
2020,0.31092125802935305,0.2696836964450207,0.014282653496751977,0.04363182181488252,0.07335158367383908,0.026944499293604554,0.24713781373510102,0.014046673511447165
2021,0.3116734717516467,0.27088110487979183,0.016455879737687546,0.04282707687078651,0.06811574561230867,0.029675368488273613,0.24591707966282852,0.014454272996676445
